,ID,Name,TF,MF,AUA,FD,CF,TSP
182,301982599,r,773,51957,2952,-1,['606616765'],1.0
183,7710472,p,847,21018,4347,-1,['606616765'],1.0
184,123828446,D,208,487,3381,-1,['606616765'],1.0
185,306232814,O,340,3675,2945,-1,['606616765'],1.0
186,454340464,P,109,864977,2724,-1,['606616765'],1.0
187,63485337,n,222,3695352,3604,-1,['606616765'],1.0
188,27531390,g,966,101853,3734,-1,['606616765'],1.0
189,24585498,T,1107,1120435,3748,-1,['606616765'],1.0
190,16799897,l,2131,140968,3898,-1,['606616765'],1.0
191,564919357,i,0,364421,2609,-1,['606616765'],0.6666666666666666
192,19194943,W,595,13409,3803,-1,['606616765'],1.0
193,172099352,j,364,691,3248,-1,['606616765'],1.0
194,45402954,s,820,2679,3664,-1,['606616765'],1.0
195,16744475,O,17,193418,3900,-1,['606616765'],0.7233333333333333
196,21985389,d,2314,3127,3765,-1,['606616765'],1.0
197,11928542,K,60,2099953,4181,-1,['606616765'],0.8666666666666667
198,14112318,x,0,8693,4118,-1,['606616765'],0.6666666666666666
199,275686563,v,159,2538910,3001,-1,['606616765'],1.0
200,222158367,s,356,3367,3121,-1,['606616765'],1.0
201,65358928,d,116,687,3597,-1,['606616765'],1.0
202,14172562,c,1332,15116,4110,-1,['606616765'],1.0
203,198252226,i,199,5222,3181,-1,['606616765'],1.0
204,47667972,g,20,507306,3655,-1,['606616765'],0.7333333333333334
205,7861312,f,701,2773104,4341,-1,['606616765'],1.0
206,175624200,I,198,860365,3238,-1,['606616765'],1.0
207,27614577,K,4011,1250,3733,-1,['606616765'],1.0
208,91008721,C,936,6091,3499,-1,['606616765'],1.0
209,31067157,m,9733,24355,3718,-1,['606616765'],1.0
210,18341326,B,748,2359,3830,-1,['606616765'],1.0
211,261733111,A,999,7065,3027,-1,['606616765'],1.0
212,265593408,b,666,11054,3020,-1,['606616765'],1.0
213,15811779,S,2162,5807,3964,-1,['606616765'],1.0
214,375022391,w,12141,12211,2832,-1,['606616765'],1.0
215,19738805,b,593,520629,3793,-1,['606616765'],1.0
216,49605189,s,280,1938,3649,-1,['606616765'],1.0
217,71236079,A,1764,2839,3576,-1,['606616765'],1.0
218,106811263,d,1391,1640,3437,-1,['606616765'],1.0
219,1452480684,H,142,224713,2218,-1,['4017022265'],0.7366666666666667
220,714643854348197889,z,12,16,1177,-1,['4017022265'],0.4714666666666667
221,2675803033,R,96,144,1791,-1,['4017022265'],0.7268444444444445
222,926867766271008774,Y,22,229,592,-1,['4017022265'],0.5451333333333332
223,23636314,d,236,1089,3753,-1,['4017022265'],0.7366666666666667
224,925980615236780032,G,294,155,594,-1,['4017022265'],0.7366666666666667
225,720592921725116416,P,299,683,1161,-1,['4017022265'],0.7366666666666667
226,844659979390988288,S,262,97,819,-1,['4017022265'],0.7366666666666667
227,768844569161138176,M,8,84,1028,-1,['4017022265'],0.5107555555555556
228,4374389069,B,332,324,1293,-1,['4017022265'],0.7366666666666667
229,755908832757444608,L,190,241,1064,-1,['4017022265'],0.7366666666666667
230,3159012912,E,92,166,1525,-1,['4017022265'],0.7170222222222222
231,2855861632,T,219,62,1691,-1,['4017022265'],0.7366666666666667
232,785438868388675584,g,152,4475,982,-1,['4017022265'],0.7366666666666667
233,3415025895,p,98,541,1408,-1,['4017022265'],0.7317555555555556
234,815945281015582726,R,674,668,898,-1,['4017022265'],0.7366666666666667
235,3169252765,O,79,448,1518,-1,['4017022265'],0.6851
236,2455740283,M,1028,2770115,1885,-1,['807202098102341632'],1.0
237,51008528,T,1688,1579758,3645,-1,['807202098102341632'],1.0
238,2893650790,S,7,450461,1666,-1,['807202098102341632'],0.6900000000000001
239,18318425,P,979,45528,3831,-1,['807202098102341632'],1.0
240,983298287301210112,S,227,225,436,-1,['807202098102341632'],1.0
241,1000674170043273216,E,10,10,388,-1,['807202098102341632'],0.5333333333333333
